Name MGRS Lat(ddd_mm.mmm) Long(ddd_mm.mmm) Lat(ddd_mm_ss) Long(ddd_mm_ss)
KOZAN 37SCA3565891379 36°57.250' 037°09.250' 36°57'15" 037°09'15"
KUKLA 36SXC6081392549 34°15.700' 034°44.800' 34°15'42" 034°44'48"
KUMLO 37SD85007048586 32°58.470' 038°27.940' 32°58'28" 038°27'56"
LATEB 37SBT6004668714 34°01.900' 036°24.060' 34°01'54" 036°24'04"
LCA 36SWD5717159113 34°52.367' 033°37.533' 34°52'22" 033°37'32"
LCANB 368WD5075453407 34°49.300' 033°33.300' 34°49'18" 033°33'18"
LCRA.28 36SWD5794560147 34°52.924' 033°38.046' 34°52'55" 033°38'03"
LEBOR 37SBT7747294254 34°15.939' 036°34.983' 34°15'56" 036°34'59"
LEDRA 36SWB0466073460 33°12.000' 033°03.000' 33°12'00" 033°03'00"
LITAN 36SXC5154617038 33°34.938' 034°37.980' 33°34'56" 034°37'59"
LOSOS 36SWD3388140946 34°42.600' 033°22.200' 34°42'36" 033°22'12"
LOTAX 37SBT7275363035 33°59.000' 036°32.400' 33°58'60" 036°32'24"
LTAF.05 368YF0187694478 36°58.487' 035°16.078' 36°58'29" 035°16'05"
LTAG.05 36SYF1467596899 36°59.625' 035°24.740' 36°59'38" 035°24'44"
LTAG.23 363YF1705998800 37°00.620' 035°26.379' 37°00'37" 035°26'23"
LTCN 37SCB1926956614 37°32.330' 036°57.261' 37°32'19" 036°57'16"
LTK 363YE6694330286 35°28.817' 035°56.533' 35°28'49" 035°56'32"
LUBAM 37SBV7673149781 35°40.000' 036°32.000' 35°40'00" 036°31'60"
LUBES 363VD7655564201 34°55.200' 032°44.600' 34°55'12" 032°44'36"
LUTAM 37SDB5774431033 37°19.500' 038°31.383' 37°19'30" 038°31'23"
MAJED 37SET0154803337 33°28.170' 039°01.000' 33°28'10" 039°01'00"
MALLA 37SBT7079548951 33°51.360' 036°31.350' 33°51'22" 036°31'21"
MANAZ 363XF2532785683 36°54.530' 034°24.410' 36°54'32" 034°24'25"
MERAM 368WE2584988022 36°02.183' 033°17.217' 36°02'11" 033°17'13"
MERNB 37SCA4781104469 36°10.383' 037°18.467' 36°10'23" 037°18'28"
MERVA 36SXB4460928261 32°46.967' 034°32.650' 32°46'58" 034°32'39"
MESIL 368XA7939454272 32°06.633' 034°54.083' 32°06'38" 034°54'05"
MEZNB 37SBT4231608591 33°29.150' 036°13.600' 33°29'09" 036°13'36"
MILBA 37SBA7556792448 36°57.083' 036°28.767' 36°57'05" 036°28'46"
MODAD 37SDS7126806357 32°35.660' 038°41.630' 32°35'40" 038°41'38"
MURAK 37SBU8965474878 34°59.680' 036°41.715' 34°59'41" 036°41'43"
NADEK 37SCR3478792822 32°27.620' 037°14.530' 32°27'37" 037°14'32"
NAMBO 37SDS6828885743 33°18.620' 038°39.560' 33°18'37" 038°39'34"
NEKES 368WF2561101023 36°09.217' 033°17.083' 36°09'13" 033°17'05"
NIKAS 363YD4734797864 35°11.600' 035°43.000' 35°11'36" 035°43'00
NISAP 37SBA8957274171 36°47.400' 036°38.500' 36°47'24" 036°38'30"
NIZIP 37SCA9023893888 36°59.083' 037°46.000' 36°59'05" 037°46'00"
NORDI 368WD0808050498 34°47.800' 033°05.300' 34°47'48" 033°05'18"
NORUE 363YF0183174816 36°47.861' 035°15.734' 36°47'52" 035°15'44"
OGBON 368YG1853027159 37°15.923' 035°27.866' 37°15'55" 035°27'52"
ORNAL 373C39340729984 32°48.160' 037°51.690' 32°48'10" 037°51'41"
OSKOV 37SDB2498803155 37°04.300' 038°09.370' 37°04'18" 038°09'22"
OSLUP 363YF1706871653 36°45.950' 035°25.919' 36°45'57" 035°25'55"
OTESA 368WD3969865200 34°55.710' 033°26.080' 34°55'43" 033°26'05"
OZBEY 37SEB0886921717 37°14.517' 039°06.000' 37°14'31" 039°06'00"
PAPOX 36SUD9929937975 34°40.730' 031°54.046' 34°40'44" 031°54'03"
PEPIR 363XA6524383359 32°22.500' 034°45.390' 32°22'30" 034°45'23"
PHA 36SVD5472341180 34°42.700' 032°30.333' 34°42'42" 032°30'20"
PIDET 363XB6701801077 32°32.070' 034°46.710' 32°32'04" 034°46'43"
RAYNB 36SYC7592753227 33°53.000' 035°59.000' 33°52'60" 035°58'60"
RDIMA 37SBS6963157686 33°02.000' 036°32.000' 33°01'60" 036°31'60"
REXAL 36SWD8194542727 34°43.400' 033°53.700' 34°43'24" 033°53'42"
RIMON 36SXA3732767077 32°13.917' 034°27.450' 32°13'55" 034°27'27"
RUBIK 36SWD0746062326 34°54.200' 033°04.900' 34°54'12" 033°04'54"
RUDER 36SXD0271868445 34°57.200' 034°07.500' 34°57'12" 034°07'30"
SALIM 37SBV5609431355 35°29.750' 036°18.667' 35°29'45" 036°18'40"
SERMA 36SWA1343781088 32°22.000' 033°08.570' 32°22'00" 033°08'34"
SOBOS 36SWD8631265133 34°55.500' 033°56.700' 34°55'30" 033°56'42"
SOLAB 36SWD2936668839 34°57.700' 033°19.300' 34°57'42" 033°19'18"
SOLIN 36SXA0912194728 32°29.067' 034°09.683' 32°29'04" 034°09'41"
SUGAT 37SCB8897501240 37°03.050' 037°45.083' 37°03'03" 037°45'05"
